nameWithOwner;url;stargazers/totalCount;createdAt (UTC);repositoryAge;primaryLanguage/name;releases/totalCount;watchers/totalCount;forks/totalCount
lanpa/tensorboardX;https://github.com/lanpa/tensorboardX;6559;13/06/17 13:54:19;3;Python;11;79;737
huggingface/datasets;https://github.com/huggingface/datasets;3394;26/03/20 09:23:22;0;Python;8;104;267
espressif/esptool;https://github.com/espressif/esptool;3369;06/09/14 14:50:29;6;Python;20;233;860
oarriaga/face_classification;https://github.com/oarriaga/face_classification;4959;09/02/17 14:44:32;3;Python;0;234;1438
micahflee/onionshare;https://github.com/micahflee/onionshare;4103;20/05/14 21:08:34;6;Python;19;179;454
vinta/awesome-python;https://github.com/vinta/awesome-python;87226;27/06/14 21:00:06;6;Python;0;5367;16232
AirtestProject/Airtest;https://github.com/AirtestProject/Airtest;4189;24/01/18 04:00:35;2;Python;3;202;718
divio/django-cms;https://github.com/divio/django-cms;7721;05/03/09 10:14:18;11;Python;0;414;2456
django-import-export/django-import-export;https://github.com/django-import-export/django-import-export;1910;15/11/12 13:12:22;7;Python;0;69;547
pytorch/tnt;https://github.com/pytorch/tnt;1220;10/12/16 11:49:58;3;Python;2;43;171
nteract/papermill;https://github.com/nteract/papermill;3613;06/07/17 17:17:53;3;Python;0;104;269
mps-youtube/mps-youtube;https://github.com/mps-youtube/mps-youtube;6371;03/02/14 04:17:46;6;Python;27;202;517
jaungiers/LSTM-Neural-Network-for-Time-Series-Prediction;https://github.com/jaungiers/LSTM-Neural-Network-for-Time-Series-Prediction;3294;18/12/16 16:26:20;3;Python;0;235;1464
librosa/librosa;https://github.com/librosa/librosa;3912;20/10/12 14:21:01;7;Python;28;142;638
TuSimple/simpledet;https://github.com/TuSimple/simpledet;2754;29/01/19 08:28:55;1;Python;0;114;467
JiahuiYu/generative_inpainting;https://github.com/JiahuiYu/generative_inpainting;2078;24/01/18 06:17:13;2;Python;0;73;523
google/aiyprojects-raspbian;https://github.com/google/aiyprojects-raspbian;1407;20/04/17 16:49:05;3;Python;7;172;585
public-apis/public-apis;https://github.com/public-apis/public-apis;97181;20/03/16 23:49:42;4;Python;0;3081;11253
fchollet/deep-learning-models;https://github.com/fchollet/deep-learning-models;6569;03/08/16 20:59:28;4;Python;8;311;2245
ytdl-org/youtube-dl;https://github.com/ytdl-org/youtube-dl;71414;31/10/10 14:35:07;9;Python;301;1945;12077
facebookresearch/visdom;https://github.com/facebookresearch/visdom;7639;25/01/17 17:59:45;3;Python;2;189;932
soeaver/caffe-model;https://github.com/soeaver/caffe-model;1248;27/02/16 16:31:56;4;Python;0;110;622
shelhamer/fcn.berkeleyvision.org;https://github.com/shelhamer/fcn.berkeleyvision.org;2874;10/06/15 00:27:59;5;Python;0;178;1362
shenweichen/DeepCTR;https://github.com/shenweichen/DeepCTR;3962;07/10/17 07:40:37;2;Python;28;163;1235
coursera-dl/coursera-dl;https://github.com/coursera-dl/coursera-dl;8106;21/03/12 21:07:15;8;Python;0;341;1656
dbcli/pgcli;https://github.com/dbcli/pgcli;8958;12/10/14 17:32:33;5;Python;0;141;398
prakhar1989/Algorithms;https://github.com/prakhar1989/Algorithms;2515;11/12/12 05:33:04;7;Python;0;151;660
rlcode/reinforcement-learning;https://github.com/rlcode/reinforcement-learning;2576;13/01/17 09:30:09;3;Python;0;127;623
horovod/horovod;https://github.com/horovod/horovod;10051;09/08/17 19:39:59;3;Python;9;334;1575
RubensZimbres/Repo-2017;https://github.com/RubensZimbres/Repo-2017;1032;17/12/16 13:21:20;3;Python;0;118;634
ohld/igbot;https://github.com/ohld/igbot;3686;13/01/17 19:34:27;3;Python;57;273;1171
viper-framework/viper;https://github.com/viper-framework/viper;1346;09/11/13 18:24:38;6;Python;4;159;328
quay/quay;https://github.com/quay/quay;1633;08/11/19 17:37:05;0;Python;2;26;134
pytorch/ignite;https://github.com/pytorch/ignite;3058;23/11/17 17:31:21;2;Python;10;57;374
dedupeio/dedupe;https://github.com/dedupeio/dedupe;2775;20/04/12 14:57:36;8;Python;0;130;389
jazzband/django-model-utils;https://github.com/jazzband/django-model-utils;1913;10/11/09 06:18:00;10;Python;2;55;289
python-openxml/python-docx;https://github.com/python-openxml/python-docx;2344;15/10/13 14:50:41;6;Python;0;144;619
aio-libs/aiohttp;https://github.com/aio-libs/aiohttp;10282;01/10/13 23:04:01;6;Python;119;248;1442
josephmisiti/awesome-machine-learning;https://github.com/josephmisiti/awesome-machine-learning;46793;15/07/14 19:11:19;6;Python;0;3432;10661
idealo/image-super-resolution;https://github.com/idealo/image-super-resolution;2137;26/11/18 13:41:13;1;Python;1;77;398
